SKU,Cliente,Idade,uf,Categoria,Faturamento
PROD-2824,Joao,19,SP,Eletronico,2921.56
PROD-1409,Ana,28,RJ,Vestuario,1308.41
PROD-5506,Carlos,35,MG,Moveis,2632.56
PROD-5012,Diana,60,SP,Vestuario,1746.13
PROD-4657,Lucas,35,RS,Eletronico,2684.61
PROD-3286,Camila,42,BA,Eletronico,672.42
PROD-2679,Marcos,71,MG,Vestuario,706.94
PROD-9935,Marcos,75,MG,Moveis,760.53
PROD-2424,Rafael,84,SP,Vestuario,4702.11
PROD-7912,Mariana,63,RJ,Eletronico,3677.85
PROD-1520,Lucas,41,RJ,Eletronico,853.79
PROD-1488,Rafael,49,BA,Vestuario,982.33
PROD-2535,Lucas,64,RJ,Moveis,3667.61
PROD-4582,Lucas,40,RS,Moveis,823.01
PROD-4811,Camila,83,RJ,Eletronico,1211.08
PROD-9279,Marcos,44,BA,Eletronico,4818.57
PROD-1434,Juliana,19,RJ,Moveis,1313.77
PROD-4257,Camila,34,RS,Vestuario,3325.08
PROD-9928,Camila,50,SP,Eletronico,4894.22
PROD-7873,Lucas,26,BA,Eletronico,1902.77
PROD-4611,Fernanda,60,SP,Moveis,136.7
PROD-8359,Marcos,65,SP,Vestuario,1258.53
PROD-5557,Mariana,56,SP,Moveis,4162.84
PROD-1106,Camila,59,MG,Vestuario,4329.81
PROD-3615,Juliana,43,MG,Vestuario,3854.17
PROD-7924,Fernanda,67,SP,Vestuario,609.89
PROD-6574,Fernanda,42,BA,Eletronico,3987.78
PROD-5552,Mariana,41,RS,Moveis,4597.46
PROD-3547,Camila,30,RS,Moveis,3023.02
PROD-4527,Juliana,77,RJ,Vestuario,4707.33
PROD-6514,Marcos,24,BA,Eletronico,4142.85
PROD-2674,Pedro,74,MG,Eletronico,3351.51
PROD-2519,Juliana,53,SP,Moveis,2907.07
PROD-7224,Mariana,62,RJ,Eletronico,1775.44
PROD-2584,Fernanda,37,RS,Eletronico,838.47
PROD-6881,Marcos,82,MG,Vestuario,3044.52
PROD-6635,Juliana,25,MG,Eletronico,1624.65
PROD-5333,Pedro,33,SP,Vestuario,4338.87
PROD-1711,Pedro,31,RS,Moveis,4967.02
PROD-8527,Lucas,32,BA,Eletronico,3774.52
PROD-9785,Lucas,83,MG,Moveis,497.88
PROD-3045,Rafael,49,SP,Moveis,1478.99
PROD-7201,Mariana,80,BA,Eletronico,590.09
PROD-2291,Camila,68,RS,Eletronico,3270.03
PROD-5803,Juliana,42,MG,Moveis,3837.69
PROD-6925,Juliana,75,BA,Eletronico,4632.09
PROD-4150,Camila,80,BA,Vestuario,2218.95
PROD-2139,Rafael,79,BA,Vestuario,4511.81
PROD-1750,Fernanda,39,MG,Eletronico,4395.56
PROD-4733,Fernanda,75,MG,Moveis,1620.12
PROD-5741,Rafael,75,RJ,Eletronico,4351.06
PROD-2307,Fernanda,66,RS,Eletronico,1909.58
PROD-4814,Lucas,69,SP,Moveis,1519.5
PROD-2654,Juliana,59,BA,Moveis,3262.92
PROD-7227,Rafael,87,RJ,Vestuario,1675.49
PROD-5554,Juliana,32,SP,Moveis,3169.53
PROD-8428,Camila,71,RJ,Vestuario,3068.67
PROD-6977,Pedro,77,MG,Moveis,2839.02
PROD-3664,Lucas,25,BA,Eletronico,1933.08
PROD-7065,Marcos,70,SP,Vestuario,2765.07
PROD-6820,Lucas,77,SP,Vestuario,3002.6
PROD-4432,Rafael,22,SP,Vestuario,2751.15
PROD-5374,Marcos,85,SP,Eletronico,2249.88
PROD-2169,Pedro,23,SP,Eletronico,122.6
PROD-3803,Rafael,64,RJ,Eletronico,2955.96
PROD-9751,Mariana,72,BA,Eletronico,883.8
PROD-5010,Juliana,57,MG,Eletronico,3230.75
PROD-3677,Pedro,69,MG,Vestuario,3808.75
PROD-8573,Juliana,33,MG,Eletronico,2527.2
PROD-7216,Fernanda,30,MG,Vestuario,2734.7
PROD-5422,Mariana,47,RJ,Eletronico,4759.82
PROD-4598,Mariana,36,RS,Moveis,4243.48
PROD-6313,Pedro,34,BA,Vestuario,4575.47
PROD-1916,Mariana,80,SP,Moveis,4078.14
PROD-4752,Marcos,36,RS,Vestuario,589.15
PROD-1525,Mariana,75,MG,Moveis,787.51
PROD-6168,Juliana,72,RS,Eletronico,2656.79
PROD-7572,Juliana,79,BA,Eletronico,1268.04
PROD-5386,Rafael,40,SP,Eletronico,2409.64
PROD-2084,Juliana,26,SP,Vestuario,2002.11
PROD-4456,Rafael,29,BA,Moveis,2769.6
PROD-6155,Juliana,18,BA,Eletronico,3747.03
PROD-4483,Marcos,75,MG,Moveis,3591.68
PROD-9179,Camila,18,SP,Moveis,2630.11
PROD-7482,Rafael,51,RS,Eletronico,4120.85
PROD-8517,Lucas,65,RJ,Eletronico,2182.77
PROD-3340,Fernanda,18,RJ,Moveis,4488.74
PROD-5339,Pedro,33,BA,Eletronico,402.84
PROD-3287,Juliana,78,MG,Eletronico,4775.57
PROD-5040,Mariana,81,RJ,Eletronico,3290.73
PROD-9830,Camila,80,SP,Vestuario,1931.37
PROD-5304,Juliana,86,BA,Moveis,1025.91
PROD-8019,Mariana,39,RS,Moveis,2421.96
PROD-7543,Fernanda,84,BA,Vestuario,1013.06
PROD-6930,Fernanda,43,RS,Moveis,873.34
PROD-4593,Fernanda,33,BA,Eletronico,3105.89
PROD-3266,Mariana,68,BA,Moveis,2639.27
PROD-9348,Juliana,74,BA,Eletronico,3366.98
PROD-9085,Fernanda,46,RS,Vestuario,4651.55
PROD-2489,Marcos,86,RS,Eletronico,2684.69
PROD-1771,Rafael,64,BA,Moveis,2925.61
PROD-2796,Mariana,79,RJ,Moveis,493.65
PROD-3504,Mariana,86,MG,Moveis,3602.3
PROD-3621,Juliana,33,MG,Vestuario,2029.53
PROD-7916,Mariana,65,MG,Vestuario,4884.79
PROD-2040,Mariana,56,RS,Moveis,4124.71
PROD-7304,Fernanda,50,RS,Eletronico,2636.28
PROD-7252,Juliana,40,RJ,Vestuario,659.95
PROD-8668,Fernanda,27,MG,Moveis,4304.11
PROD-9669,Rafael,86,MG,Moveis,4008.92
PROD-5119,Camila,51,BA,Vestuario,963.7
PROD-1188,Rafael,69,RS,Vestuario,1511.63
PROD-2876,Camila,27,MG,Vestuario,3977.37
PROD-9797,Fernanda,36,RJ,Eletronico,966.88
PROD-5371,Rafael,75,RJ,Eletronico,4592.87
PROD-6573,Juliana,18,MG,Moveis,2151.41
PROD-2827,Pedro,86,RS,Vestuario,480.84
PROD-5808,Fernanda,21,RJ,Eletronico,4087.96
PROD-8123,Camila,33,BA,Vestuario,1898.87
PROD-3591,Marcos,41,RJ,Moveis,2656.17
